Code,Name,Alias,Country
UNKOWN,Unknown source,,
UNSL,Universidad Nacional de San Luis,,Argentina
UPA,Universidad de Panama,,Panama
UPIES,Institute of Earth- and Environmental Science,,Germany
UPP,University of Uppsala,,Sweden
UPSL,"University of Patras, Department of Geology",,Greece
UREES,Department of Earth and Environmental Science,,U.S.A.
USAEC,United States Atomic Energy Commission,DOE,U.S.A.
USAF,US Air Force Technical Applications Center,,U.S.A.
USBR,US Bureau of Reclamation,,U.S.A.
USCGS,United States Coast and Geodetic Survey,NEIC,U.S.A.
USGS,United States Geological Survey,,U.S.A.
USOES,University of Southampton Ocean and Earth Science,,United Kingdom
UTEP,Department of Geological Sciences,,U.S.A.
UUSS,The University of Utah Seismograph Stations,,U.S.A.
UVC,Universidad del Valle,,Colombia
UWMDG,"University of Wisconsin-Madison, Department of Geoscience",,U.S.A.
VAO,Instituto Astronomico e Geofísico,,Brazil
VIE,Zentralanstalt für Meteorologie und Geodynamik (ZAMG),,Austria
VKMS,"Lab. of Seismic Monitoring, Voronezh region, GSRAS & Voronezh State University",,Russia
VLA,Vladivostok Seismological Station,MOS,Russia
VRAC,Vranov Seismological Station,,Czech Republic
VSI,University of Athens,,Greece
VUW,Victoria University of Wellington,,New Zealand
WAR,"Institute of Geophysics, Polish Academy of Sciences",,Poland
WASN,,,U.S.A.
WBNET,"Institute of Geophysics, Czech Academy of Sciences",,Czech Republic
WEL,Institute of Geological and Nuclear Sciences,,New Zealand
WES,Weston Observatory,,U.S.A.
WET,Geophysikalisches Observatorium - Wettzell,,Germany
WMO,Wichita Mountains Observatory,NEIS,U.S.A.
WOODLARK,"Woodlark-D,Entrecasteaux Rift, Papua New Guinea",,U.S.A.
WUSTL,Washington University Earth and Planentary Sciences,,U.S.A.
X,Unknown Historical Agency,,
YAL,Unknown Historical Agency,,
YARS,"Yakutiya Regional Seismological Center, GS SB RAS",,Russia
ZAG,Seismological Survey of the Republic of Croatia,,Croatia
ZEMSU,,,USSR
ZKW,Unknown Historical Agency,,
ZON,Universidad Nacional de San Juan,,Argentina
ZSC,Zose Seismological Station,BJI,China
ZUR,Swiss Seismological Service (SED),,Switzerland
ZUR_RMT,Zurich Moment Tensors,,Switzerland
